,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
40,Flat 51622603,Karachi Flats,A Flat At Affordable Price Awaits You,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat For Sale Malir cantt Askari 5 Sector j Ground Plus 13 Building Brand New Flat3 Bed room Kitchen Drawing Dining Attach bath,Flooring,"Bedrooms: 3, Bathrooms: 3, Kitchens: 1","Type: Flat, Price: PKR3.45 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 3, Area: 267 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 1 week ago"
41,House 52013288,Karachi Houses,"500 Sq Yds Modern Architect Built Brand New Corner House In Khayaban E Muhafiz DHA Phase 6, Karachi","DHA Phase 6, DHA Defence, Karachi, Sindh","Modern 500 Yards Brand New Bungalow for SaleProperty Overview:Brand New BungalowArchitect: Ali NaqviArea: 500 YardsPrice: 18.5 CrLocation: Kh-Muhafiz, DHA Phase 6Corner Plot6 BedroomsKey Features:- G+B+1st Floor- 6 Large Sized Bedrooms (2 + 4 planning) - 7 Bathrooms (Grohe Sanitary Installed)- Fully Consumed Basement- Entrance with Grand Double Height Foyer- 2 Kitchen (Interwood appliances Installed)- Two Cars Parking Facility- Custom Designed Wardrobes- Glasstech Windows- Woodcorp Doors- Marble & Tiles Flooring- Spacious Garden Area- Courtyard (Signature Fountain)- Modern Automations (Smart Lights & Door Handles)- Imported Chandeliers- Flood Safe Structure- Waterproof & Anti Termites FinishesYAS Real EstateAuthorized Titanium PartnerFor booking and details contact us through Zameen. Thank You.",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features,"Bedrooms: 6, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR18.5 Crore, Location: DHA Defence, Karachi, Sindh, Bath(s): 6, Area: 500 Sq. Yd., Purpose: For Sale, Bedroom(s): 6, Added: 1 week ago"
42,Flat 52012950,Karachi Flats,"Experience Luxury Living: Stunning 3- Bed Apartment in Al Murtaza Commercial, DHA Phase 8, Karachi","Al-Murtaza Commercial Area, DHA Phase 8, DHA Defence, Karachi, Sindh","Creek Apartments: A luxury residential apartments project in Al Murtaza Commercial, DHA Phase 8. The Project features 3 bed DD apartments, designed and to be built on international standards. Building-Key Features:- B+G+5 Floors Project- 3 Bed DD Apartments- Dedicated Parking Space in Basement for all Apartments- Commercial Retail Areas on Ground Floor- Separate Front Entrance for Apartments- 24/7 Stand by Generators- CCTV Monitoring, 24/7Apartment-Key Features:- Imported Tile Floorings- Luxurious Fixtures & Finishes- American Kitchen with Granite Counter TopsKey Amenities:- High-Speed Elevators- Rooftop Garden- Rooftop Walking TrackWhat we like about the project:1- Highly demanded and sought-out location of DHA Phase 8, Karachi2- DHA Phase 8 is quickly emerging as a prime choice for savvy investors and homebuyers because of its prime location and vibrant community. It is fairly attractive for young professionals & families as it houses some of the city's best schools3-""The Place"" mall is a few minutes walk away with food cart, shops, cinema and kids play area4- Experienced builder, well-known for its expertise in architectural construction to deliver projects of outstanding quality5- Super attractive & affordable pricing6- Potential for capital appreciation7- Ability to look in the construction cost in an inflationary environment coupled with currency devaluation YAS Real EstateAuthorized Titanium PartnerFor booking and details contact us through Zameen. Thank You",Built in year: 2025 | Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Flooring | Electricity Backup | Waste Disposal | Floors in Building: 5 | Elevators | Service Elevators in Building | Other Main Features,"Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR3.35 Crore, Location: DHA Defence, Karachi, Sindh, Bath(s): 3, Area: 175 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 1 week ago"
43,House 50572152,Karachi Houses,Prime Location 400 Square Yards House In Central Old Ravians Cooperative Housing Society For Sale,"Old Ravians Co-Operative Housing Society, Karachi, Sindh",House Available For SaleSize 400 Sq YdDemand View Contact Detail/-6 Bedroom6 BathroomNear To Play GroundNear To MarketNear To Masjid,Built in year: 2024 | Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 6, Bathrooms: 6, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR8 Crore, Location: Old Ravians Co-Operative Housing Society, Karachi, Sindh, Bath(s): 6, Area: 400 Sq. Yd., Purpose: For Sale, Bedroom(s): 6, Added: 3 days ago"
44,Flat 51951905,Karachi Flats,"""Own Your Dream Apartment Today Bank Loan Facility Available!""","Jinnah Avenue, Karachi, Sindh","Discover Your Dream Home! Brand New, Spacious 3-Bedroom Apartments  Now Available for Sale Bank Loan Applicable! Key Features: Semi-furnished for added convenience Located in a secure, boundary-wall project Dedicated parking spaces 3 high-speed elevators per tower Exclusive tower lobbies for added privacy Vibrant community hall for your gatherings Safe children's play area Reliable standby generator no more power cuts 24/7 availability of sweet water, electricity, and gasExperience modern living with all essential amenities just a step away. Don't miss out on this amazing opportunity! Visit the site today and explore your future home.",Parking Spaces | Lobby in Building | Elevators | Service Elevators in Building | Furnished,"Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1","Type: Flat, Price: PKR2.3 Crore, Location: Jinnah Avenue, Karachi, Sindh, Bath(s): 3, Area: 181 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 3 days ago"
45,Flat 52067311,Karachi Flats,Flat 2600 Square Feet For Sale In Askari 5 - Sector J,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat Available For saleIn Malir Cantt Askari 5Sector jGround Plus 11 Building8th Floor 3bedroom Tv Lounge Kitchen Drawing Dining Attach bath,Flooring | Other Main Features,"Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room, Laundry Room","Type: Flat, Price: PKR4 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 3, Area: 289 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 3 days ago"
46,Flat 52067310,Karachi Flats,2600 Square Feet Flat Available For sale In Askari 5 - Sector J,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat Available For saleIn Malir Cantt Askari 5Sector jGround Plus 11 Building3rd Floor Ground floor Parking space3bedroom Tv Lounge Kitchen Drawing Dining Attach bath,Flooring | Other Main Features,"Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1","Type: Flat, Price: PKR4.15 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 3, Area: 289 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 3 days ago"
47,Flat 52067313,Karachi Flats,Flat For Sale In Askari 5 - Sector J,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat Available For saleIn Malir Cantt Askari 5Sector j4bedroom Tv Lounge Kitchen Drawing Dining Attach bath,Built in year | Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor | Floors in Building | Elevators | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Other Rooms","Type: Flat, Price: PKR4.8 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 4, Area: 367 Sq. Yd., Purpose: For Sale, Bedroom(s): 4, Added: 3 days ago"
48,House 51877658,Karachi Houses,200 Square Yards House For Grabs In Bahria Town Karachi,"Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh","Villa For SaleApartment/Villa /Homes/Structure Note:Ready To Move,Without Key,With Key. Villa For SaleType;Precinct#Size. NoRdStStatusFeaturesCorner,Park Face , Rd Facing ,Semi Corner. Price. Key Features. 3 Bed With Attach Bath,Tv Lounge. Terrace. Kitchen. Store Room.  Tiled Flooring. Solid Stylish Doors. Nearby: Mosque,Hospital,Commercial Shops, Near To Ev Bus Stop, Near To Main Gates,Near By Park. For More Information Contact:",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.2 Crore, Location: Bahria Town Karachi, Karachi, Sindh, Bath(s): 3, Area: 200 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 2 hours ago"
49,House 52093454,Karachi Houses,HOUSE FOR SALE IN SECTOR X GULSHANE MAHMAR,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",HOUSE FOR SALE IN GULSHANE MAYMAR SECTOR XSUB SECTOR X6west openAREA: 200SQYDGROUND FLOOR: 3 BEDROOM WITH ATTACHED BATHROOM1 DRAWING ROOM1 TV Loungeopen kitchencar PorscheFIRST FLOOR:3bedroom with attached bathroom1 drawing room1 tv loungeopen kitchenterrace area,Built in year: 2024 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Furnished,"Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR3.25 Crore, Location: Gadap Town, Karachi, Sindh, Bath(s): -, Area: 200 Sq. Yd., Purpose: For Sale, Bedroom(s): 6, Added: 7 hours ago"
50,House 52061911,Karachi Houses,Get This Amazing 645 Square Yards House Available In Gulshan-E-Maymar - Sector S,"Gulshan-e-Maymar - Sector S, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh","Gulshan-E-Maymaar Sector S Corner 645 Yards Plot 7.5 CroreIf you're looking for 645 Square Yards properties that fit your needs, here's what you need. You will find no problem living in Gulshan-e-Maymar - Sector S as it has all the amenities. You can find many property options for sale or rent in Karachi. Let us help you narrow down popular areas for House in Karachi. A price of PKR Rs. 75000000 is an attractive deal for property investment. A high-end property for sale doesn't become available easily, so take benefit while you can. For booking and details, give us a call today.",Built in year: 2024 | Parking Spaces: 1 | Double Glazed Windows | Flooring | Electricity Backup | Floors: 3,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Kitchens: 2, Powder Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR7.5 Crore, Location: Gadap Town, Karachi, Sindh, Bath(s): 5, Area: 645 Sq. Yd., Purpose: For Sale, Bedroom(s): 5, Added: 7 hours ago"
51,House 52125324,Karachi Houses,House For Sale Zero Meter Condition,"North Karachi, Karachi, Sindh",House for sale sector 10 Zero meter condition Ready to move Ground plus one VIP location 40 feet Street Sweet water No load sheddingAll documents need and cleanNear to masjid market bus stop school hospitalVIP inventory Turab Estatecontact:,Built in year: 1990 | Parking Spaces: 15 | Flooring | Electricity Backup | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 4, Bathrooms: 5, Drawing Room, Dining Room, Kitchens: 2, Study Room, Store Rooms: 1","Type: House, Price: PKR3.25 Crore, Location: North Karachi, Karachi, Sindh, Bath(s): 5, Area: 120 Sq. Yd., Purpose: For Sale, Bedroom(s): 4, Added: 7 hours ago"
52,Flat 51163939,Karachi Flats,1ST FLOOR COVERD CAR PARKING BRAND NEW FLAT AVAILABLE FOR SALE SEC J ASK V MALIR,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Apartment For saleMalir cantt Askari 5Sector jCovered Car Parking 3 BedroomsTv LoungeKitchenDrawingDiningAttach bath,Built in year: 2023 | Parking Spaces: 01 | Lobby in Building | Flooring | Electricity Backup | Floor | Floors in Building: 1 | Elevators: 2 | Other Main Features,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Type: Flat, Price: PKR4.05 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 3, Area: 300 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 1 week ago"
53,House 52115873,Karachi Houses,"272 Square Yard LUXURY VILLA FOR SALE In Precinct-8 Near GRAND JAMIA MOSQUE. A-PLUS Construction. 5 Bedrooms, DDL &Amp; American Kitchen. 5min Drive From Main Gate Of BTK. All Amenities Nearby, Including PARK, MOSQUE, SCHOOLS And Commercial","Bahria Town - Precinct 8, Bahria Town Karachi, Karachi, Sindh","Exclusively presented for sale by NUH Properties & Builders, this luxurious villa in Precinct 8 of Bahria Town Karachi offers a lavish living environment with modern amenities. Here's a detailed overview of its standout features:- Size and Layout: Covering an expansive area of 250 square feet, this villa comprises five bedrooms, each with its own attached bathroom. Additionally, it features a dining and drawing room, two lounges, a car porch, a front lawn, three spacious terraces, a kitchen, a store room, a servant quarter with a toilet, and a 5-foot wide passage surrounding the villa. - Location: Positioned in Precinct 8, this villa enjoys proximity to the main entrance of Bahria Town Karachi, surrounded by a host of facilities and amenities, ensuring convenience for residents. - Surroundings: Precinct 8 villas are surrounded by a family park, a commercial area, a mosque, a 15-acre school, and a 25-acre Bahria Carnival. Moreover, the Grand Jamia Mosque of Bahria Town Karachi is situated nearby, adding to the appeal of these residences. - Investment Opportunity: These villas present an exceptional choice for both residence and investment purposes. Anticipated to attract high-end buyers, they hold significant potential for future value appreciation. Additionally, they can be rented out to upscale tenants, offering a reliable source of monthly income for investors. For inquiries regarding the purchase of these luxurious villas or any further questions, please contact NUH Properties & Builders today. Our contact information, available 24/7 via email, phone, and WhatsApp, is provided at the end of this description.",Parking Spaces | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal,"Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1","Type: House, Price: PKR3.3 Crore, Location: Bahria Town Karachi, Karachi, Sindh, Bath(s): 5, Area: 272 Sq. Yd., Purpose: For Sale, Bedroom(s): 5, Added: 1 week ago"
54,House 52067692,Karachi Houses,Buying A On Excellent Location House In DHA Phase 7 Karachi?,"DHA Phase 7, DHA Defence, Karachi, Sindh",BANGLOW FOR SALE ARCHITECT TARIQ HASSAN 16TH LANE PHASE 76-BED LOUNGE KITCHEN DRAWING DINNING FULL BASEMENT CAR PARKINGSwimming pool LawnImported sanitary,Built in year: 2022 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Other Main Features | Furnished,"Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR40 Crore, Location: DHA Defence, Karachi, Sindh, Bath(s): 6, Area: 1,000 Sq. Yd., Purpose: For Sale, Bedroom(s): 6, Added: 1 week ago"
55,House 52098914,Karachi Houses,Luxurious 400 SQ YARD Villa | 8 Bed D/D,"Naya Nazimabad, Karachi, Sindh","Luxurious Bungalow 400 SQYD for Sale in Naya Nazimabad - Block AFully Furnished House with Premium Materials used all over the HouseProperty Details:Block A, Naya Nazimabad400 SQYD8 spacious bedrooms with attached bathsElegant drawing and dining roomsFully furnishedLease in HandKE Charges PaidWall Holding RCC Wall Texture Spray Solid Wood/American Wood Used for Doors2x4 Tiles used all over the House Wardrobe Material Elegant High Gloss/Al-Noor High Gloss Use of GraniteFancy Ceiling in Every Room including LoungePorta, Master and Vision's Sanitary and AccessoriesHanging Commode's fitted in washroomsConcealed Water TanksRooftop Floor is Marble with dedicated Sitting Area (Side Benches Already Constructed) Main Gate 16 GaugeKey Features:Prime VIP location with a peaceful environmentAll documents cleared24/7 water and electricity supplyHigh alert security for a safe livingHigh standard of livingDemand: PKR 15 CroreAvailable Blocks: A, B, C, D, K, L, M, N, P Available Plot Sizes: 120, 160, 240, 400 SQYDWhy Choose Naya Nazimabad?Master-Planned Gated Community: Ensuring a secure and organized living experienceAdvanced Security: Round-the-clock surveillance and security measuresCommercial Areas: Convenient access to shopping and business centersSports Facilities: State-of-the-art amenities for sports enthusiastsEducational Institutions: World-class school within the communityHealthcare: International standard hospital for all your medical needsReligious Facilities: Beautiful Jamiah MasjidRecreational Areas: Landscaped parks, community sports club, and zooQuality Construction: Built to international standardsIdeal Location: Situated in the heart of KarachiDon't miss out on the best prices and ideal locations in Naya Nazimabad. Contact us today to secure your dream home!",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Other Main Features | Furnished,"Bedrooms: 8, Bathrooms, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 3, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR15 Crore, Location: Naya Nazimabad, Karachi, Sindh, Bath(s): 7, Area: 400 Sq. Yd., Purpose: For Sale, Bedroom(s): 8, Added: 1 week ago"
56,Flat 52009731,Karachi Flats,READY TO MOVE 955sq ft 2Bed Lounge Flat FOR SALE Outer Corner Apartment with AMAZING VIEW. 2KM from MAIN GATE of BTK\,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh","950 Square Ft 2 Bedrooms Luxury Apartment Is Available For Sale In Bahria Town, KarachiBahria Apartments Are Located On Jinnah Ave And Right Next To Main Entrance Gate Of Bahria Town Karachi. It's A Brand New Apartment And Location Is Also Good. More Than 3000 Families Are Already Living In Bahria ApartmentsSize Of Apartment Is 950 Sq. FeetHaving 2 Bedrooms With Attached Bathrooms T. V LoungeBahria Town Karachi Comes With World Class Amenities And Some Amazing Tourist Attractions Like Full Size Replica Of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium And Much MorePlease Note That More Options Of Apartments,125 Plots And Villas Are Also Available In Different Blocks Of Bahria Town Karachi. Bahria Town Karachi Is A Master-Planned Gated Community Which Promises The International Standards Of Infrastructure And State-Of-The-Art Amenities To Its Residents. Here Are Some Of The Features Of Bahria Town Karachi World Class Security With 24 7 Surveillance Commercial Areas, Gold-Class Cinemas, International Standard Hospitals State-Of- The-Art Sports Facilities, Community Sports Club & Zoo World-Class Schools, Colleges And International University International Theme Park, Play-Land And Water-Rides Monuments Of Wonders Of The World Like Eiffel Tower, Taj-Mahal And Statue Of Liberty Grand Jamia Mosque With Capacity Of About 1 Million 5-Star International Hotel & USGA Standard Golf Course Grid Station & Telephone-Exchange Transport System From Bahria Town To City Centre 100 Backup Power (No Load-Shedding)And Much More",Parking Spaces | Lobby in Building | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Elevators | Service Elevators in Building,"Bedrooms: 2, Bathrooms: 2, Drawing Room, Kitchens: 1, Store Rooms: 1","Type: Flat, Price: PKR75 Lakh, Location: Bahria Town Karachi, Karachi, Sindh, Bath(s): 2, Area: 106 Sq. Yd., Purpose: For Sale, Bedroom(s): 2, Added: 3 days ago"
57,House 52068082,Karachi Houses,Well-constructed Brand New House Available For sale In Askari 5 - Sector J,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh","Be the owner of 375 Square Yards property in a highly desirable location in Karachi. Of all the locations that you could wish to buy property, none currently match Askari 5 - Sector J in the potential returns on investment. Let us take you on the virtual real estate tour of Karachi city. Look no further as we have the best House that fits well within your budgeted requirements. Not many properties are priced Rs. 78300000. So, it's better to grab the offer, before someone else does. A spacious property with modern features is available for sale. Such a steal deal is hard to come by again. You can read the property features below. An adjoining drawing room also comes with the property to complete your home. The dining room adjacent to the drawing, and in close proximity to the kitchen, makes it easier to entertain the guests. Kids can freely play at the garden near the House. This House has a beautiful Jamiah mosque located at walking distance from it. You can contact us today to have all your doubts cleared.",Built in year: 2024 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Floors: 1 | Other Main Features,"Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Other Rooms","Type: House, Price: PKR7.83 Crore, Location: Cantt, Karachi, Sindh, Bath(s): 5, Area: 375 Sq. Yd., Purpose: For Sale, Bedroom(s): 5, Added: 3 days ago"
58,Flat 52134301,Karachi Flats,BRAND NEW 2 BEDROOMS DRAWING ROOM LOUNGE KITCHEN AVAILABLE IN LUXURY BUILDING,"Scheme 33, Karachi, Sindh",BRAND NEW2 BEDROOMSDRAWING ROOM WITH WASHROOM LOUNGE KITCHEN LIFTBALCONY SECURITY CAMERA INTERCOM SECURITY GUARDS,Built in year: 2025 | Parking Spaces: 1 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 2 | Floors in Building: 5 | Elevators: 1 | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR90 Lakh, Location: Scheme 33, Karachi, Sindh, Bath(s): 3, Area: 111 Sq. Yd., Purpose: For Sale, Bedroom(s): 2, Added: 3 days ago"
59,Flat 52134275,Karachi Flats,BRAND NEW 3 BEDROOMS LOUNGE KITCHEN IN ONE OF THE BEST SOCIETY'S OF KARACHI,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A, Scheme 33, Karachi, Sindh",BRAND NEW3 BEDROOMS 3 WASHROOMSLOUNGE KITCHENWEST OPEN LIFTBALCONIES,Built in year: 2025 | Parking Spaces: 1 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 2 | Floors in Building: 5 | Elevators: 1 | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR90 Lakh, Location: Scheme 33, Karachi, Sindh, Bath(s): 3, Area: 111 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 3 days ago"
60,House 47447024,Karachi Houses,1000 Square Yards House In DHA Phase 8 Is Available,"DHA Phase 8, DHA Defence, Karachi, Sindh",* *I AM A BUNGALOW . . *  * *MY AREA IS 1000 SQUARE YARDS 90*100 . . * * *I AM VERY BEAUTIFULL BY LOOKS . . * * *I AM CREATION OF ONE OF THE FINEST ARCHITECT . . * * *I HAVE BUILT TO GIVE LUXURIOUS LIFE . . * * *I HAVE FINISHED WITH SPENDING HANDSOME MONEY AND WELL EQUIPPED WITH QUALITY MATERIAL - FITTINGS AND FIXTURES LIKE LATEST SERIES OF GROHE - BARMA TEEK WOOD - FOTILE APPLIANCES - SPANISH TILES - PAKISTAN CABLE - FALCON CEMENT - AMRELI STEEL AND MUCH MORE . . * * *I HAVE BUILT TO CARE BY HAVING PERFECT KITCHEN TO MEET ALL STANDARDS TO COOK HEALTHY FOODS & STAY HEALTHY . . * * *I HAVE 6 LAVISH BEDROOM'S TO GIVE YOU A PERFECT SHELTER WITH ALL COMFORTS OF LIFE . . * ** I AM WEST OPEN TO GIVE YOU FRESH AIR** ** I HAVE BIG GARDEN FOR YOU THERE YOU CAN ENJOY THE RAIN AND WITH YOUR FAMILY** * *I HAVE AN EXCLUSIVELY DESIGNED PLACES CALLED - TV LOUNGE - DRAWING & THE DINING AREA WHERE ALL LOVED ONES MEET MOST OF THE TIME & MAKE LASTING MEMORIES . . * * *I HAVE ALSO BUILT FOR THOSE WHO ARE HEALTH CONSCIOUS AS I HAVE A PLACE CALLED GYM - WHERE ALL AGES PEOPLE IN THE HOUSE CAN HAVE BEST TIME . . * * *I CAN OFFER YOU A HUGE PLACE IN BASEMENT TO CELEBRATE YOUR EVENTS WITH YOUR FRIENDS & FAMILY . . * * *I HAVE A GUARD ROOM TO SECURE YOU AND YOURS LOVE ONE . . * * *I HAVE BIG CAR PORCH TO TAKE CARE OF YOUR MOST LOVING & VALUABLE VEHICLES . . * * *I WORTH AS I GIVE QUALITY OF LIFE BY MEETING ALL YOUR DESIRES . . * * *HOPE TO SEE YOU SOON TO HAVE LIFE TIME RELATIONSHIP . . * -------------------------- * *AWAITING TO SEE YOU . . * * *BEST REGARDS . . * **1000 yards HOUSE * ---------------------- * *FOR FURTHER ASSISTANCE . . * * *PLEASE CALL . . * CLIFTON PROPERTY,Parking Spaces: 4,"Bedrooms: 6, Bathrooms: 6, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room","Type: House, Price: PKR33 Crore, Location: DHA Defence, Karachi, Sindh, Bath(s): 6, Area: 1,000 Sq. Yd., Purpose: For Sale, Bedroom(s): 7, Added: 3 days ago"
61,House 51877658,Karachi Houses,200 Square Yards House For Grabs In Bahria Town Karachi,"Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh","Villa For SaleApartment/Villa /Homes/Structure Note:Ready To Move,Without Key,With Key. Villa For SaleType;Precinct#Size. NoRdStStatusFeaturesCorner,Park Face , Rd Facing ,Semi Corner. Price. Key Features. 3 Bed With Attach Bath,Tv Lounge. Terrace. Kitchen. Store Room.  Tiled Flooring. Solid Stylish Doors. Nearby: Mosque,Hospital,Commercial Shops, Near To Ev Bus Stop, Near To Main Gates,Near By Park. For More Information Contact:",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.2 Crore, Location: Bahria Town Karachi, Karachi, Sindh, Bath(s): 3, Area: 200 Sq. Yd., Purpose: For Sale, Bedroom(s): 3, Added: 2 hours ago"
62,House 52087203,Karachi Houses,LUXURY & BEAUTIFUL NEW HOUSE FOR SALE IN SECTOR W MAYMAR,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh","LUXURY HOUSE FOR SALE IN GULSHANE MAYMARSECTOR WMODERN FRONT ELEVATIONGROUND FLOOR:3 BEDROOMS WITH ATTACH BATH1 Lounge area1 kitchendrawing room dinning areaFirst Floor:3 bedrooms with attach bath1 lounge area1 American kitchen1 drawing roomspacious terrace with common attach bathIDEAL FOR RESIDENCE NEAR PARK , MASJID, SCHOOL, NEAR BIN HASHIM MART FOR GROCERY",Built in year: 2024 | Flooring | Electricity Backup | Floors: 2,"Bedrooms: 6, Bathrooms: 7, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room","Type: House, Price: PKR8 Crore, Location: Gadap Town, Karachi, Sindh, Bath(s): -, Area: 400 Sq. Yd., Purpose: For Sale, Bedroom(s): 6, Added: 7 hours ago"
